id,name,logo
201,Don't Panic Games,https://www.dontpanicgames.com/wp-content/uploads/2021/01/logo-dpg-m.png
202,DTDA,
203,Maze Games,
204,Weelingua,
205,A.L.F.,
206,Grrre Games,https://boutique.lepalaisdemidgard.fr/wp-content/uploads/2021/10/grrre-games.png.webp
207,Lifestyle boardgames,https://www.jeuxdenim.be/images/sites/LifestyleBoardgames-2020-12-27-13-36-27.jpg
208,Débâcle jeux,https://debacle.fr/wp-content/uploads/2018/12/logo-debacle-WEB-500px.jpg
209,Surfinmeeple,
210,Game Brewer,
211,Flatlined Games,
212,Oka Luda,https://okaluda.fr/wp-content/uploads/2018/10/cropped-logo-nicofinal-FOND-TRANSPARENT.png
213,2 Tomatoes,https://cf.geekdo-images.com/J75yixxxfJewzxmDlW8pjQ__itemrep/img/Qtt8dvoFQZTxaEV1O9Q0TcuYLcY=/fit-in/246x300/filters:strip_icc()/pic2935671.png
214,Smile Life,https://static.wixstatic.com/media/471cb5_aaaca5cc12ae490e8a6e88f3f3dec10d~mv2_d_2481_1608_s_2.png
215,Subverti,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/12/subverti.png
216,Ludo.tech,
218,Aurora,
219,Les éditions de base,http://www.tutemetscombien.fr/wp-content/uploads/2018/06/logo-TTMC-accroche.png
220,Faire Play Editions,
221,Spin Master,
222,Schmidt Spiele,https://www.schmidtspiele.de/files/layout/logo.png
223,Studio H,https://cf.geekdo-images.com/IALiXfLAr4S63_BiaUo5Mw__itemrep/img/23zI646WO5CpzpvaLyLHaOKo0fM=/fit-in/246x300/filters:strip_icc()/pic4972566.jpg
224,DV Giochi,https://www.dvgiochi.com/img/dVGames_logo.png
225,Sylex Edition,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2020/02/sylex.png
226,Game Factory,
227,Delicious games,
228,Loki,https://loki-kids.com/wp-content/uploads/2017/11/logo-loki-final.png
229,Funny Fox,https://funnyfox.fr/wp-content/uploads/sites/21/2019/09/FunnyfoxNEW3-1024x715.png
230,Holy Grail,https://ludovox-fr.exactdn.com/wp-content/uploads/2023/02/up_Holygrailend.jpg?strip=all&lossy=1&ssl=1
231,Oink Games,https://cf.geekdo-images.com/gFvFfiTTQdDLYCZY5fpNyg__itemrep/img/TsVn2_P8NX3F5INlblEIVUkSbYo=/fit-in/246x300/filters:strip_icc()/pic4137364.jpg
232,Ludiconcept,
233,Mandoo Games,https://www.delijeux.com/sites/default/files/styles/medium/public/field-images/editeur/unnamed.jpg
235,I{Cœur}Games,
236,Sand Castle Games,
237,Kosmos,
238,Explor8,https://www.jeuxdenim.be/images/sites/Explor8-2020-02-02-11-52-08.jpg
239,KYF Editions,https://kyf-edition.com/wp-content/uploads/2024/04/Logo_KYF_EDITION.webp
240,Magilano,
241,Big Potato Games,https://cdn.shopify.com/s/files/1/0525/4565/0856/files/big-potato-logo-hr_26556f52-a999-41e1-8b7d-9ab0b99811f3.png
243,Ludistri,https://ludistri.fr/medias-ludistri/logo_ludistri.jpg
244,Borderline éditions,http://borderlineeditions.com/images/borderline.jpg
245,Jyde,
246,Le lapin sigma,
247,Ouimba Games,
248,Arkada Studio,https://images.squarespace-cdn.com/content/v1/65f6ee2fdfc1a4278a3c0a80/5fa7fbf8-e4e4-4f29-9143-e7728bb47036/Arkada+Studio+2024+avec+contour.png?format
249,Pétard Troll,
250,OTBA,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/OTBA_RVB_Horiz.png
251,Capitaine Meeple,https://www.capitainemeeple.com/wp-content/uploads/2021/08/LOGO_CM_horizontal_bleu-250x103.png
252,Huch!,
253,Granna,https://cdn.1j1ju.com/thumbs/logo-lg-webp/medias/88/b2/23-logo-granna.webp
254,Darucat,https://ik.imagekit.io/heredity/www/tr:w-250/logo_79BIFnXMaG.png
255,Alternative Shift,
256,Poptalks,https://cdn10.trictrac.net/trictrac/9d/07/c3845e891a13be30da24a6375904170d18c20e04ed943b48c3208c3e5eb7.jpeg
257,Cheesecake,
258,Bières et Cookies à 10h21,
259,Ice Makes,
261,Gate on Games,
262,Oppi,
264,Mythic Games,
265,Helvetiq,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2023/04/helvetiq.png
267,Les éditions du Crapaud Céleste,
268,ATM Gaming,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-jM9Bo1zngcRuftuPxwcBq2vORnHIyyZtxQ&s
269,Spiral édition,https://www.atmgaming.eu/wp-content/uploads/2022/04/ATM_Logo.svg
270,Multivers,https://subverti.com/assets/img/maps/publishers/spiral-editions/logo.webp
271,Winning Moves,https://cf.geekdo-images.com/rZSBwfRKdt54FaWCGT2xSA__itemrep/img/ta0mDGFEfq901evcV2ANwzvJFKo=/fit-in/246x300/filters:strip_icc()/pic6158179.jpg
272,Nostromo Editions,https://www.winningmoves.fr/wp-content/uploads/2022/04/Logo-Winning-Moves.png
273,Olibirus,https://i0.wp.com/nostromo-editions.com/wp-content/uploads/2021/04/Logo-generique-noir.png?fit=3000%2C1000&ssl=1
274,Old Hen Games,
275,Palladis Games,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8oSZZOwNRFyDAVimh_syBHOySzL614sn1Mw&s
276,Riviera Games,https://www.festivaldujeu-montpellier.org/wp-content/uploads/2023/04/palladis_games.png
278,Cosmoludo,
279,Ludically,https://www.ludifolie.com/img/m/415-large_default.jpg
